"Table with row headers in column A, and column headers in rows 5 through 6.",,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration, by Age, for States: November 2020",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Age,Total population,Total citizen population,Registered,,,,,Voted,,,,,
,25 to 34,119,104,71,59.7,8.2,68.5,8.4,58,49.0,8.4,56.2,8.9,
,35 to 44,113,102,79,69.9,7.9,77.6,7.6,71,62.8,8.3,69.7,8.3,
,45 to 64,257,245,183,71.4,5.2,74.7,5.1,168,65.6,5.4,68.6,5.4,
,65+,192,189,154,79.9,5.3,81.4,5.2,147,76.4,5.6,77.8,5.6,
DISTRICT OF COLUMBIA,Total,576,534,464,80.5,2.7,86.9,2.4,448,77.8,2.8,84.0,2.6,
,18 to 24,63,56,48,B,B,B,B,47,B,B,B,B,
,25 to 34,159,148,132,83.1,4.8,89.1,4.2,127,80.1,5.1,85.9,4.6,
,35 to 44,126,115,100,79.1,5.9,86.5,5.2,95,75.5,6.2,82.6,5.7,
,45 to 64,136,124,108,79.9,5.6,87.1,4.9,106,78.4,5.7,85.4,5.1,
,65+,93,89,76,81.3,6.6,84.6,6.2,72,78.0,7.0,81.1,6.7,
FLORIDA,Total,"17,244","15,645","10,495",60.9,1.5,67.1,1.5,"9,720",56.4,1.5,62.1,1.6,
,18 to 24,"1,556","1,391",775,49.8,5.1,55.7,5.4,648,41.6,5.1,46.6,5.4,
,25 to 34,"2,713","2,397","1,476",54.4,3.9,61.6,4.0,"1,302",48.0,3.9,54.3,4.1,
,35 to 44,"2,732","2,336","1,514",55.4,3.9,64.8,4.0,"1,370",50.1,3.9,58.6,4.1,
,45 to 64,"5,776","5,253","3,520",60.9,2.6,67.0,2.6,"3,325",57.6,2.6,63.3,2.7,
,65+,"4,468","4,267","3,210",71.9,2.7,75.2,2.7,"3,076",68.8,2.8,72.1,2.8,
GEORGIA,Total,"8,032","7,400","5,233",65.2,2.2,70.7,2.2,"4,888",60.9,2.2,66.1,2.3,
,18 to 24,990,925,556,56.1,6.5,60.1,6.6,489,49.4,6.5,52.9,6.8,
,25 to 34,"1,496","1,354",913,61.0,5.2,67.4,5.2,794,53.1,5.3,58.6,5.5,
,35 to 44,"1,287","1,083",723,56.2,5.7,66.8,5.9,690,53.6,5.7,63.7,6.0,
,45 to 64,"2,634","2,454","1,854",70.4,3.7,75.6,3.6,"1,783",67.7,3.8,72.6,3.7,
,65+,"1,625","1,584","1,187",73.1,4.5,75.0,4.5,"1,132",69.6,4.7,71.4,4.7,
HAWAII,Total,"1,056",980,673,63.8,3.3,68.7,3.3,630,59.7,3.3,64.3,3.4,
,18 to 24,107,93,46,43.4,10.6,49.6,11.4,41,38.8,10.4,44.4,11.3,
,25 to 34,170,156,88,51.9,8.4,56.7,8.7,80,47.3,8.4,51.7,8.8,
,35 to 44,170,156,110,65.0,8.0,70.5,8.0,103,60.4,8.3,65.6,8.4,
,45 to 64,332,311,244,73.5,5.3,78.3,5.1,230,69.4,5.6,73.9,5.5,
,65+,278,263,185,66.5,6.2,70.2,6.2,175,63.2,6.4,66.6,6.4,
IDAHO,Total,"1,370","1,299",900,65.7,3.1,69.3,3.1,843,61.6,3.2,64.9,3.2,
,18 to 24,182,177,102,55.8,8.9,57.6,9.0,95,52.1,9.0,53.9,9.1,
,25 to 34,253,235,151,59.8,7.5,64.5,7.6,140,55.4,7.6,59.7,7.7,
,35 to 44,203,185,132,65.0,8.1,71.3,8.0,123,60.4,8.3,66.2,8.4,
,45 to 64,418,398,278,66.6,5.6,69.9,5.6,262,62.7,5.7,65.8,5.8,
,65+,313,304,237,75.7,5.9,77.9,5.8,223,71.3,6.2,73.4,6.1,
ILLINOIS,Total,"9,658","8,860","6,590",68.2,2.0,74.4,1.9,"6,058",62.7,2.0,68.4,2.0,
,18 to 24,"1,135","1,060",664,58.5,6.0,62.7,6.1,583,51.4,6.1,55.0,6.3,
,25 to 34,"1,703","1,525","1,010",59.3,4.9,66.2,5.0,892,52.4,5.0,58.5,5.2,
,35 to 44,"1,598","1,418","1,069",66.9,4.9,75.4,4.7,985,61.7,5.0,69.5,5.0,
,45 to 64,"3,196","2,937","2,310",72.3,3.3,78.7,3.1,"2,153",67.4,3.4,73.3,3.4,
,65+,"2,027","1,920","1,537",75.8,3.9,80.0,3.8,"1,444",71.2,4.1,75.2,4.1,
INDIANA,Total,"5,096","4,921","3,412",67.0,2.7,69.3,2.7,"3,002",58.9,2.8,61.0,2.8,
,18 to 24,587,571,276,47.0,8.4,48.3,8.5,221,37.7,8.2,38.8,8.3,
,25 to 34,799,760,493,61.7,7.0,64.8,7.1,401,50.2,7.2,52.8,7.4,
,35 to 44,946,888,611,64.5,6.4,68.8,6.4,515,54.4,6.6,58.0,6.8,
,45 to 64,"1,642","1,609","1,155",70.3,4.6,71.8,4.6,"1,045",63.6,4.9,64.9,4.9,
,65+,"1,121","1,092",878,78.3,5.0,80.4,4.9,820,73.2,5.4,75.1,5.3,
IOWA,Total,"2,361","2,293","1,742",73.8,3.1,76.0,3.0,"1,618",68.5,3.2,70.5,3.2,
,18 to 24,260,248,169,65.2,10.0,68.3,10.0,157,60.5,10.3,63.3,10.3,
,25 to 34,377,356,248,65.7,8.3,69.5,8.2,223,59.2,8.6,62.7,8.7,
,35 to 44,412,395,307,74.5,7.3,77.8,7.1,276,66.8,7.8,69.8,7.8,
,45 to 64,722,707,545,75.4,5.4,77.0,5.3,511,70.7,5.7,72.3,5.7,
,65+,590,587,473,80.2,5.5,80.5,5.5,451,76.5,5.9,76.8,5.9,
KANSAS,Total,"2,157","1,975","1,398",64.8,3.5,70.8,3.5,"1,297",60.1,3.6,65.7,3.7,
,18 to 24,264,240,149,56.5,10.5,62.3,10.8,128,48.4,10.6,53.4,11.1,
,25 to 34,392,331,210,53.5,8.7,63.5,9.1,191,48.7,8.7,57.8,9.4,
,35 to 44,343,304,221,64.4,8.9,72.6,8.8,204,59.4,9.1,67.0,9.3,
,45 to 64,659,607,424,64.4,6.4,69.9,6.4,392,59.5,6.6,64.6,6.7,
,65+,499,493,394,78.9,6.3,79.9,6.2,382,76.5,6.5,77.5,6.5,
KENTUCKY,Total,"3,384","3,227","2,450",72.4,3.2,75.9,3.1,"2,210",65.3,3.4,68.5,3.4,
,18 to 24,281,265,172,61.3,12.0,65.2,12.1,157,55.8,12.2,59.3,12.4,
,25 to 34,570,498,330,57.8,8.5,66.2,8.7,271,47.4,8.6,54.3,9.2,
,35 to 44,640,606,479,74.8,7.1,79.0,6.8,439,68.6,7.6,72.5,7.5,
,45 to 64,"1,141","1,111",874,76.6,5.2,78.7,5.1,787,68.9,5.6,70.8,5.6,
,65+,751,748,595,79.2,6.1,79.5,6.1,557,74.1,6.6,74.4,6.6,
LOUISIANA,Total,"3,438","3,299","2,286",66.5,3.2,69.3,3.2,"2,041",59.4,3.3,61.9,3.3,
,18 to 24,389,370,207,53.1,10.0,55.9,10.2,173,44.5,9.9,46.9,10.2,
,25 to 34,598,563,358,59.8,7.9,63.6,8.0,290,48.5,8.1,51.5,8.3,
,35 to 44,587,563,391,66.7,7.7,69.5,7.6,356,60.7,7.9,63.2,8.0,
,45 to 64,"1,089","1,043",744,68.3,5.6,71.3,5.5,688,63.1,5.8,65.9,5.8,
,65+,775,760,586,75.7,6.1,77.1,6.0,535,69.0,6.5,70.4,6.5,
MAINE,Total,"1,087","1,075",832,76.5,3.2,77.4,3.2,766,70.5,3.4,71.3,3.4,
,18 to 24,93,90,60,64.6,12.3,66.4,12.3,57,61.4,12.5,63.1,12.6,
,25 to 34,158,157,116,73.3,8.7,74.1,8.7,102,64.3,9.4,65.0,9.5,
,35 to 44,170,170,136,79.8,7.6,79.8,7.6,120,70.8,8.6,70.8,8.6,
,45 to 64,367,361,285,77.7,5.4,78.8,5.3,263,71.7,5.8,72.7,5.8,
,65+,300,296,236,78.6,5.9,79.5,5.8,224,74.9,6.2,75.7,6.2,
MARYLAND,Total,"4,606","4,303","3,383",73.4,2.7,78.6,2.6,"3,166",68.7,2.9,73.6,2.8,
,18 to 24,573,530,413,72.0,7.8,77.8,7.5,375,65.4,8.3,70.7,8.3,
,25 to 34,754,684,517,68.6,7.1,75.6,6.9,460,61.0,7.4,67.3,7.5,
,35 to 44,726,655,534,73.5,6.8,81.5,6.3,498,68.6,7.2,76.0,7.0,
,45 to 64,"1,542","1,447","1,125",72.9,4.7,77.7,4.6,"1,080",70.0,4.9,74.6,4.8,
,65+,"1,010",986,794,78.6,5.4,80.5,5.3,753,74.5,5.7,76.4,5.6,
MASSACHUSETTS,Total,"5,514","4,897","3,546",64.3,2.6,72.4,2.6,"3,249",58.9,2.7,66.3,2.7,
,18 to 24,562,469,303,54.0,8.6,64.7,9.0,259,46.1,8.6,55.2,9.3,
,25 to 34,"1,142",939,647,56.7,6.0,68.9,6.1,566,49.6,6.0,60.3,6.5,
,35 to 44,830,696,492,59.2,6.9,70.6,7.0,433,52.2,7.1,62.2,7.5,
,45 to 64,"1,845","1,713","1,247",67.6,4.4,72.8,4.4,"1,171",63.4,4.6,68.3,4.6,
,65+,"1,135","1,081",857,75.5,5.2,79.2,5.0,820,72.2,5.4,75.8,5.3,
MICHIGAN,Total,"7,790","7,467","5,513",70.8,2.1,73.8,2.1,"4,994",64.1,2.2,66.9,2.2,
,18 to 24,932,887,546,58.5,6.6,61.5,6.7,469,50.3,6.7,52.9,6.9,
,25 to 34,"1,344","1,257",910,67.8,5.2,72.4,5.2,777,57.8,5.5,61.8,5.6,
,35 to 44,"1,130","1,063",764,67.6,5.7,71.8,5.7,666,58.9,6.0,62.6,6.1,
,45 to 64,"2,663","2,547","1,969",74.0,3.5,77.3,3.4,"1,798",67.5,3.7,70.6,3.7,
,65+,"1,721","1,713","1,324",76.9,4.2,77.3,4.2,"1,284",74.6,4.3,75.0,4.3,
MINNESOTA,Total,"4,339","4,142","3,436",79.2,2.5,82.9,2.4,"3,225",74.3,2.7,77.9,2.7,
,18 to 24,440,430,317,72.0,8.8,73.8,8.7,297,67.5,9.2,69.2,9.2,
,25 to 34,787,772,595,75.6,6.3,77.1,6.2,541,68.7,6.8,70.0,6.8,
,35 to 44,771,672,539,69.9,6.8,80.2,6.3,503,65.3,7.1,74.9,6.9,
,45 to 64,"1,431","1,379","1,199",83.8,4.0,86.9,3.7,"1,134",79.2,4.4,82.2,4.2,
,65+,909,889,785,86.4,4.7,88.4,4.4,749,82.5,5.2,84.3,5.0,
MISSISSIPPI,Total,"2,212","2,177","1,749",79.1,2.8,80.4,2.7,"1,531",69.2,3.2,70.3,3.2,
,18 to 24,249,249,154,61.9,9.9,61.9,9.9,105,42.3,10.1,42.3,10.1,
,25 to 34,376,365,288,76.5,7.0,78.8,6.9,250,66.3,7.9,68.3,7.8,
,35 to 44,366,354,288,78.8,6.9,81.3,6.7,249,68.2,7.9,70.4,7.8,
,45 to 64,734,723,611,83.2,4.5,84.4,4.3,562,76.5,5.0,77.7,5.0,
,65+,486,485,408,84.0,5.4,84.2,5.3,365,75.0,6.3,75.2,6.3,
MISSOURI,Total,"4,637","4,475","3,388",73.1,2.7,75.7,2.7,"2,990",64.5,2.9,66.8,2.9,
,18 to 24,587,563,382,65.0,8.2,67.7,8.2,313,53.3,8.6,55.5,8.7,
,25 to 34,716,697,474,66.2,7.3,68.1,7.3,418,58.3,7.7,60.0,7.7,
,35 to 44,743,682,465,62.7,7.4,68.3,7.4,368,49.5,7.6,53.9,7.9,
,45 to 64,"1,596","1,542","1,222",76.6,4.4,79.3,4.3,"1,124",70.5,4.7,72.9,4.7,
,65+,995,992,844,84.9,4.7,85.1,4.7,768,77.2,5.5,77.4,5.5,
MONTANA,Total,836,827,641,76.6,2.6,77.5,2.6,607,72.6,2.8,73.5,2.8,
,18 to 24,107,104,69,65.0,8.3,66.6,8.3,60,56.2,8.6,57.6,8.7,
,25 to 34,128,126,89,69.4,7.3,70.3,7.3,83,65.2,7.6,66.1,7.6,
,35 to 44,128,127,105,82.4,6.1,82.7,6.0,97,75.6,6.8,75.9,6.8,
,45 to 64,253,251,201,79.3,4.6,79.9,4.5,193,76.2,4.8,76.9,4.8,
,65+,221,218,177,80.0,4.8,81.1,4.8,175,78.9,4.9,80.0,4.9,
NEBRASKA,Total,"1,435","1,369",971,67.7,3.4,70.9,3.4,892,62.2,3.5,65.2,3.5,
,18 to 24,123,117,59,47.5,12.3,50.1,12.6,49,40.1,12.1,42.3,12.5,
,25 to 34,301,281,190,63.0,7.6,67.6,7.6,168,55.7,7.8,59.8,8.0,
,35 to 44,246,217,147,59.6,8.5,67.6,8.7,138,55.9,8.6,63.3,8.9,
,45 to 64,465,457,338,72.7,5.6,74.0,5.6,311,66.9,6.0,68.2,6.0,
,65+,299,297,238,79.5,6.4,80.0,6.3,226,75.5,6.8,76.0,6.8,
NEVADA,Total,"2,402","2,198","1,455",60.6,3.2,66.2,3.3,"1,351",56.3,3.3,61.5,3.4,
,18 to 24,284,262,110,38.7,9.4,41.9,9.9,96,33.9,9.1,36.7,9.7,
,25 to 34,463,415,275,59.4,7.4,66.2,7.5,236,51.1,7.5,57.0,7.9,
,35 to 44,352,310,193,54.8,8.6,62.2,8.9,176,50.0,8.7,56.7,9.1,
,45 to 64,804,734,505,62.8,5.5,68.8,5.6,481,59.8,5.6,65.5,5.7,
,65+,500,477,373,74.5,6.3,78.1,6.1,363,72.4,6.5,76.0,6.4,
NEW HAMPSHIRE,Total,"1,101","1,077",843,76.6,2.9,78.3,2.8,797,72.4,3.0,74.0,3.0,
,18 to 24,110,108,74,67.7,10.1,69.1,10.1,67,61.1,10.5,62.3,10.6,
,25 to 34,176,166,123,69.6,7.8,73.8,7.7,111,63.0,8.2,66.7,8.3,
,35 to 44,167,163,126,75.8,7.5,77.3,7.4,118,70.9,8.0,72.4,7.9,
,45 to 64,383,375,289,75.4,5.0,77.0,4.9,278,72.7,5.2,74.2,5.1,
,65+,265,264,231,87.1,4.7,87.3,4.6,223,84.0,5.1,84.2,5.1,
NEW JERSEY,Total,"6,801","5,921","5,008",73.6,2.2,84.6,1.9,"4,638",68.2,2.3,78.3,2.2,
,18 to 24,783,706,613,78.3,6.0,86.9,5.2,532,67.9,6.8,75.3,6.7,
,25 to 34,"1,125",885,708,62.9,5.9,79.9,5.5,619,55.0,6.1,69.9,6.3,
,35 to 44,"1,032",813,678,65.7,6.1,83.4,5.4,624,60.5,6.2,76.8,6.1,
,45 to 64,"2,408","2,134","1,807",75.1,3.6,84.7,3.2,"1,720",71.4,3.8,80.6,3.5,
,65+,"1,453","1,383","1,202",82.7,4.1,86.9,3.7,"1,143",78.6,4.4,82.6,4.2,
NEW MEXICO,Total,"1,610","1,498","1,028",63.9,3.0,68.6,3.0,938,58.3,3.1,62.6,3.2,
,18 to 24,184,177,88,48.0,9.3,49.9,9.5,76,41.3,9.2,42.9,9.4,
,25 to 34,284,269,175,61.7,7.3,65.2,7.4,143,50.3,7.5,53.1,7.7,
,35 to 44,254,231,144,56.6,7.9,62.2,8.1,132,52.2,8.0,57.3,8.3,
,45 to 64,504,455,329,65.4,5.4,72.4,5.3,312,62.0,5.5,68.7,5.5,
,65+,384,366,291,75.8,5.5,79.5,5.4,274,71.4,5.9,74.9,5.8,
NEW YORK,Total,"15,105","13,298","9,370",62.0,1.6,70.5,1.7,"8,609",57.0,1.7,64.7,1.7,
,18 to 24,"1,613","1,461",816,50.6,5.2,55.9,5.4,698,43.3,5.2,47.8,5.5,
,25 to 34,"2,568","2,171","1,463",57.0,4.1,67.4,4.2,"1,371",53.4,4.1,63.2,4.3,
,35 to 44,"2,677","2,191","1,563",58.4,4.0,71.3,4.0,"1,457",54.4,4.0,66.5,4.2,
,45 to 64,"4,737","4,197","3,085",65.1,2.9,73.5,2.8,"2,856",60.3,3.0,68.0,3.0,
,65+,"3,511","3,279","2,442",69.6,3.2,74.5,3.2,"2,226",63.4,3.4,67.9,3.4,
NORTH CAROLINA,Total,"8,113","7,391","5,161",63.6,2.2,69.8,2.2,"4,780",58.9,2.3,64.7,2.3,
,18 to 24,872,820,465,53.3,7.0,56.7,7.2,404,46.4,7.0,49.3,7.3,
,25 to 34,"1,412","1,259",809,57.3,5.5,64.2,5.6,706,50.0,5.5,56.0,5.8,
,35 to 44,"1,315","1,068",705,53.6,5.7,66.0,6.0,637,48.4,5.7,59.6,6.2,
,45 to 64,"2,524","2,303","1,699",67.3,3.9,73.8,3.8,"1,638",64.9,3.9,71.1,3.9,
,65+,"1,992","1,941","1,483",74.5,4.1,76.4,4.0,"1,396",70.1,4.3,71.9,4.2,
NORTH DAKOTA,Total,571,556,429,75.2,2.9,77.3,2.9,373,65.3,3.2,67.1,3.2,
,18 to 24,68,64,42,B,B,B,B,30,B,B,B,B,
,25 to 34,120,114,82,68.2,6.9,71.7,6.8,69,56.9,7.3,59.9,7.4,
,35 to 44,96,93,74,76.4,7.0,79.0,6.9,63,65.7,7.9,67.9,7.9,
,45 to 64,175,173,143,81.4,4.8,82.3,4.7,129,73.7,5.4,74.6,5.4,
,65+,111,111,89,80.6,6.1,80.9,6.1,82,73.9,6.8,74.2,6.8,
OHIO,Total,"8,951","8,740","6,733",75.2,1.9,77.0,1.8,"6,128",68.5,2.0,70.1,2.0,
,18 to 24,"1,072","1,049",635,59.2,6.2,60.6,6.2,556,51.8,6.3,53.0,6.3,
,25 to 34,"1,551","1,465","1,077",69.5,4.8,73.5,4.7,898,57.9,5.1,61.3,5.2,
,35 to 44,"1,307","1,245",958,73.3,5.0,77.0,4.9,839,64.2,5.4,67.4,5.5,
,45 to 64,"2,978","2,952","2,348",78.8,3.1,79.5,3.0,"2,186",73.4,3.3,74.1,3.3,
,65+,"2,042","2,030","1,715",84.0,3.3,84.5,3.3,"1,650",80.8,3.6,81.3,3.6,
OKLAHOMA,Total,"2,942","2,800","1,884",64.0,3.5,67.3,3.5,"1,631",55.5,3.6,58.3,3.7,
,18 to 24,343,333,150,43.7,10.6,44.9,10.8,102,29.7,9.8,30.5,10.0,
,25 to 34,481,431,260,54.1,9.0,60.4,9.3,212,44.1,9.0,49.2,9.5,
,35 to 44,550,501,314,57.1,8.4,62.6,8.6,258,47.0,8.4,51.5,8.8,
,45 to 64,950,917,677,71.2,5.8,73.8,5.7,624,65.7,6.1,68.1,6.1,
,65+,618,618,484,78.3,6.6,78.3,6.6,435,70.3,7.3,70.3,7.3,
OREGON,Total,"3,369","3,242","2,590",76.9,2.9,79.9,2.8,"2,402",71.3,3.1,74.1,3.0,
,18 to 24,388,373,253,65.2,9.5,68.0,9.5,209,53.8,10.0,56.1,10.1,
,25 to 34,576,550,439,76.1,7.0,79.7,6.8,381,66.1,7.8,69.2,7.8,
,35 to 44,573,539,464,80.9,6.5,86.0,5.9,418,72.9,7.3,77.5,7.1,
,45 to 64,"1,030",984,785,76.3,5.2,79.8,5.0,761,73.9,5.4,77.4,5.3,
,65+,801,796,649,81.1,5.5,81.5,5.4,633,79.0,5.7,79.5,5.6,
PENNSYLVANIA,Total,"9,902","9,621","7,337",74.1,1.8,76.3,1.8,"6,756",68.2,1.9,70.2,1.9,
,18 to 24,"1,049","1,017",601,57.3,6.3,59.1,6.4,519,49.4,6.4,51.0,6.5,
,25 to 34,"1,789","1,747","1,354",75.7,4.2,77.5,4.1,"1,207",67.4,4.6,69.0,4.6,
,35 to 44,"1,360","1,281",948,69.7,5.1,74.0,5.0,866,63.6,5.4,67.6,5.4,
,45 to 64,"3,212","3,122","2,491",77.6,3.0,79.8,3.0,"2,315",72.1,3.3,74.1,3.2,
,65+,"2,492","2,453","1,943",78.0,3.4,79.2,3.4,"1,850",74.2,3.6,75.4,3.6,
RHODE ISLAND,Total,840,776,575,68.5,3.2,74.1,3.2,515,61.3,3.4,66.3,3.4,
,18 to 24,101,96,59,58.1,9.9,61.1,10.1,50,49.0,10.1,51.6,10.3,
,25 to 34,143,135,96,66.8,8.0,70.9,7.9,80,56.1,8.4,59.5,8.6,
,35 to 44,130,111,79,60.6,8.7,71.1,8.7,71,54.5,8.8,63.9,9.2,
,45 to 64,291,268,207,71.4,5.4,77.4,5.2,187,64.5,5.7,69.9,5.7,
,65+,174,166,135,77.3,6.4,81.0,6.2,126,72.6,6.8,76.1,6.7,
SOUTH CAROLINA,Total,"4,010","3,878","2,713",67.7,3.0,70.0,3.0,"2,459",61.3,3.1,63.4,3.1,
,18 to 24,438,421,269,61.4,9.4,63.9,9.5,225,51.4,9.7,53.4,9.8,
,25 to 34,697,673,390,56.0,7.6,58.0,7.7,329,47.2,7.7,49.0,7.8,
,35 to 44,577,543,375,65.1,8.0,69.1,8.0,326,56.6,8.4,60.1,8.5,
,45 to 64,"1,277","1,227",892,69.9,5.2,72.8,5.1,844,66.1,5.4,68.8,5.4,
,65+,"1,022","1,015",786,76.9,5.3,77.5,5.3,735,71.9,5.7,72.4,5.7,
SOUTH DAKOTA,Total,659,649,437,66.3,3.4,67.4,3.4,380,57.7,3.5,58.5,3.5,
,18 to 24,79,77,40,50.5,10.3,52.0,10.5,34,42.7,10.2,43.9,10.4,
,25 to 34,120,117,67,56.2,8.3,57.4,8.4,53,44.3,8.3,45.2,8.4,
,35 to 44,99,95,59,59.8,9.0,62.4,9.1,50,50.7,9.2,52.9,9.4,
,45 to 64,210,208,155,73.7,5.6,74.2,5.6,138,65.6,6.0,66.0,6.0,
,65+,152,152,116,76.5,6.3,76.5,6.3,106,69.5,6.9,69.5,6.9,
TENNESSEE,Total,"5,283","5,038","3,742",70.8,2.6,74.3,2.5,"3,346",63.3,2.7,66.4,2.7,
,18 to 24,641,611,372,58.1,8.0,60.9,8.1,300,46.9,8.1,49.1,8.3,
,25 to 34,818,761,521,63.7,6.9,68.5,6.9,428,52.3,7.1,56.3,7.3,
,35 to 44,911,829,618,67.9,6.3,74.5,6.2,549,60.3,6.6,66.3,6.7,
,45 to 64,"1,765","1,699","1,340",75.9,4.2,78.9,4.0,"1,247",70.6,4.4,73.4,4.4,
,65+,"1,148","1,138",891,77.6,5.0,78.2,5.0,822,71.6,5.4,72.2,5.4,
